sender,total_sent
carNoIp[823],456
carNoIp[824],441
carNoIp[825],441
carNoIp[826],441
carNoIp[827],441
carNoIp[828],425
carNoIp[829],425
carNoIp[830],425
carNoIp[831],425
carNoIp[832],410
carNoIp[833],410
carNoIp[834],410
carNoIp[835],410
carNoIp[836],394
carNoIp[837],394
carNoIp[838],394
carNoIp[839],394
carNoIp[840],383
carNoIp[841],383
carNoIp[842],383
carNoIp[843],383
carNoIp[844],383
carNoIp[845],383
carNoIp[846],383
carNoIp[847],383
carNoIp[848],379
carNoIp[849],379
carNoIp[850],379
carNoIp[851],379
carNoIp[852],363
carNoIp[853],363
carNoIp[854],363
carNoIp[855],363
carNoIp[856],348
carNoIp[857],348
carNoIp[858],348
carNoIp[859],348
carNoIp[860],332
carNoIp[861],332
carNoIp[862],332
carNoIp[863],332
carNoIp[864],317
carNoIp[865],317
carNoIp[866],317
carNoIp[867],317
carNoIp[868],301
carNoIp[869],301
carNoIp[870],301
carNoIp[871],301
carNoIp[872],286
carNoIp[873],286
carNoIp[874],286
carNoIp[875],286
carNoIp[876],270
carNoIp[877],270
carNoIp[878],270
carNoIp[879],270
carNoIp[880],258
carNoIp[881],258
carNoIp[882],258
carNoIp[883],258
carNoIp[884],258
carNoIp[885],258
carNoIp[886],258
carNoIp[887],258
carNoIp[888],254
carNoIp[889],254
carNoIp[890],254
carNoIp[891],254
carNoIp[892],239
carNoIp[893],239
carNoIp[894],239
carNoIp[895],239
carNoIp[896],223
carNoIp[897],223
carNoIp[898],223
carNoIp[899],223
carNoIp[900],208
carNoIp[901],208
carNoIp[902],208
carNoIp[903],208
carNoIp[904],192
carNoIp[905],192
carNoIp[906],192
carNoIp[907],192
carNoIp[908],177
carNoIp[909],177
carNoIp[910],177
carNoIp[911],177
carNoIp[912],161
carNoIp[913],161
carNoIp[914],161
carNoIp[915],161
carNoIp[916],146
carNoIp[917],146
carNoIp[918],146
carNoIp[919],146
carNoIp[920],134
carNoIp[921],134
carNoIp[922],134
carNoIp[923],134
carNoIp[924],134
carNoIp[925],134
carNoIp[926],134
carNoIp[927],134
carNoIp[928],130
carNoIp[929],130
carNoIp[930],130
carNoIp[931],130
carNoIp[932],115
carNoIp[933],115
carNoIp[934],115
carNoIp[935],115
carNoIp[936],99
carNoIp[937],99
carNoIp[938],99
carNoIp[939],99
carNoIp[940],84
carNoIp[941],84
carNoIp[942],84
carNoIp[943],84
carNoIp[944],68
carNoIp[945],68
carNoIp[946],68
carNoIp[947],68
carNoIp[948],52
carNoIp[949],52
carNoIp[950],52
carNoIp[951],52
carNoIp[952],37
carNoIp[953],37
carNoIp[954],37
carNoIp[955],37
carNoIp[956],21
carNoIp[957],21
carNoIp[958],21
carNoIp[959],21
carNoIp[960],10
carNoIp[961],10
carNoIp[962],10
carNoIp[963],10
carNoIp[964],10
carNoIp[965],10
carNoIp[966],10
carNoIp[967],10
carNoIp[968],6
carNoIp[969],6
carNoIp[970],6
carNoIp[971],6
